22,14,36,Si,-12393.323,71.32,8111.33,1.981,986695.219
21,15,36,P,-20251.028,13.114,8307.868,0.364,978259.625
20,16,36,S,-30664.124,0.188,8575.389,0.005,967080.706
19,17,36,Cl,-29522.017,0.036,8521.932,0.001,968306.809
18,18,36,Ar,-30231.54,0.027,8519.909,0.001,967545.105
17,19,36,K,-17417.065,0.341,8142.219,0.009,981302.01
16,20,36,Ca,-6451.15,40,7815.879,1.111,993074.404
24,13,37,Al,9809.563,120.163,7531.315,3.248,10531
23,14,37,Si,-6594.287,82.973,7953.518,2.243,992920.74
22,15,37,P,-18996.105,37.948,8267.558,1.026,979606.841
21,16,37,S,-26896.41,0.198,8459.935,0.005,971125.514
20,17,37,Cl,-31761.521,0.052,8570.28,0.001,965902.602
19,18,37,Ar,-30947.648,0.207,8527.139,0.006,966776.331
18,19,37,K,-24800.199,0.094,8339.847,0.003,973375.889
17,20,37,Ca,-13136.066,0.634,8003.456,0.017,985897.852
25,13,38,Al,16209.859,249.64,7377.097,6.569,17402
24,14,38,Si,-4170.299,69.862,7892.829,1.838,995523
23,15,38,P,-14669.556,86.78,8148.537,2.284,984251.583
22,16,38,S,-26861.187,7.172,8448.781,0.189,971163.328
21,17,38,Cl,-29798.087,0.098,8505.48,0.003,968010.436
20,18,38,Ar,-34714.82,0.195,8614.28,0.005,962732.106
19,19,38,K,-28800.754,0.195,8438.058,0.005,969081.117
18,20,38,Ca,-22058.5,0.194,8240.043,0.005,976319.224
25,14,39,Si,2320.352,90.355,7730.979,2.317,2491
24,15,39,P,-12829.273,91.423,8099.37,2.344,986227.208
23,16,39,S,-23162.346,50,8344.261,1.282,975134.197
22,17,39,Cl,-29800.192,1.732,8494.402,0.044,968008.176
21,18,39,Ar,-33242.19,5,8562.598,0.128,964313.038
20,19,39,K,-33807.19022,0.00458,8557.025,0,963706.4864
19,20,39,Ca,-27282.702,0.596,8369.67,0.015,970710.813
18,21,39,Sc,-14172.71,24,8013.456,0.615,984784.968
